code,name
SH.688123,聚辰股份
SH.688127,蓝特光学
SH.688128,中国电研
SH.688131,皓元医药
SH.688139,海尔生物
SH.688141,杰华特
SH.688146,中船特气
SH.688147,微导纳米
SH.688150,莱特光电
SH.688153,唯捷创芯
SH.688158,优刻得
SH.688165,埃夫特
SH.688167,炬光科技
SH.688177,百奥泰
SH.688182,灿勤科技
SH.688190,云路股份
SH.688195,腾景科技
SH.688205,德科立
SH.688206,概伦电子
SH.688208,道通科技
SH.688232,新点软件
SH.688252,天德钰
SH.688262,国芯科技
SH.688279,峰岹科技
SH.688289,圣湘生物
SH.688300,联瑞新材
SH.688306,均普智能
SH.688321,微芯生物
SH.688326,经纬恒润
SH.688327,云从科技
SH.688332,中科蓝讯
SH.688333,铂力特
SH.688351,微电生理
SH.688352,颀中科技
SH.688353,华盛锂电
SH.688362,甬矽电子
SH.688368,晶丰明源
SH.688372,伟测科技
SH.688380,中微半导
SH.688382,益方生物
SH.688388,嘉元科技
SH.688390,固德威
SH.688392,骄成超声
SH.688400,凌云光
SH.688403,汇成股份
SH.688408,中信博
SH.688409,富创精密
SH.688432,有研硅
SH.688433,华曙高科
SH.688439,振华风光
SH.688443,智翔金泰
SH.688449,联芸科技
SH.688484,南芯科技
SH.688486,龙迅股份
SH.688502,茂莱光学
SH.688503,聚和材料
SH.688515,裕太微
SH.688516,奥特维
SH.688519,南亚新材
SH.688522,纳睿雷达
SH.688523,航天环宇
SH.688531,日联科技
SH.688536,思瑞浦
SH.688543,国科军工
SH.688545,兴福电子
SH.688548,广钢气体
SH.688549,中巨芯
SH.688552,航天南湖
SH.688559,海目星
SH.688567,孚能科技
SH.688584,上海合晶
SH.688586,江航装备
SH.688591,泰凌微
SH.688593,新相微
SH.688596,正帆科技
SH.688605,先锋精科
SH.688612,威迈斯
SH.688627,精智达
SH.688630,芯碁微装
SH.688631,莱斯信息
SH.688639,华恒生物
SH.688652,京仪装备
SH.688658,悦康药业
SH.688660,电气风电
SH.688668,鼎通科技
SH.688686,奥普特
SH.688690,纳微科技
SH.688691,灿芯股份
SH.688698,伟创电气
SH.688700,东威科技
SH.688717,艾罗能源
SH.688726,拉普拉斯
SH.688766,普冉股份
SH.688776,国光电气
SH.688779,五矿新能
SH.688789,宏华数科
SH.688798,艾为电子
SH.688800,瑞可达
